epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.014,3.14788,3.28656,3.61579,0.87015,0.33424,0.49587,0.27285,1.8841,2.6777,2.74665,0.000552902,0.000552902,0.000552902
2,205.08,1.88632,1.75099,2.33993,0.4353,0.71569,0.61564,0.36425,1.44793,1.24971,2.12264,0.00109759,0.00109759,0.00109759
3,300.246,1.68884,1.37903,2.01538,0.68721,0.72442,0.68986,0.41996,1.41504,1.04537,1.90378,0.00163128,0.00163128,0.00163128
4,394.594,1.598,1.22928,1.88897,0.62043,0.77636,0.68586,0.43317,1.31103,1.09818,1.79493,0.00161749,0.00161749,0.00161749
5,488.769,1.50472,1.09827,1.79986,0.59726,0.64449,0.63433,0.39163,1.37657,0.97927,1.86999,0.00160099,0.00160099,0.00160099
6,583.684,1.48471,1.0545,1.78321,0.68023,0.81809,0.75259,0.45557,1.31316,0.91507,1.78392,0.00158448,0.00158448,0.00158448
7,678.904,1.39821,0.99523,1.70452,0.76377,0.73316,0.76938,0.49217,1.24587,0.79129,1.71608,0.00156798,0.00156798,0.00156798
8,773.818,1.39949,0.97429,1.68657,0.73849,0.75927,0.79052,0.49711,1.22778,0.8001,1.65337,0.00155148,0.00155148,0.00155148
9,869.323,1.36036,0.94242,1.66028,0.74768,0.77826,0.79998,0.48808,1.24041,0.8084,1.69822,0.00153497,0.00153497,0.00153497
10,963.497,1.33782,0.94533,1.6371,0.66859,0.78383,0.73044,0.47375,1.3357,0.82383,1.68689,0.00151847,0.00151847,0.00151847
11,1059.59,1.32917,0.91884,1.62616,0.74245,0.7856,0.77637,0.48939,1.23233,0.80268,1.62949,0.00150197,0.00150197,0.00150197
12,1154.72,1.30937,0.89195,1.62654,0.7765,0.7751,0.80994,0.49535,1.24009,0.81814,1.678,0.00148546,0.00148546,0.00148546
13,1248.87,1.29367,0.87797,1.59435,0.84945,0.73258,0.79743,0.4867,1.28013,0.74238,1.71741,0.00146896,0.00146896,0.00146896
14,1343.78,1.27423,0.87652,1.58324,0.7044,0.8377,0.7873,0.50516,1.1999,0.73454,1.64687,0.00145246,0.00145246,0.00145246
15,1438.21,1.26124,0.85004,1.58321,0.78494,0.73469,0.78856,0.50286,1.1934,0.73706,1.65304,0.00143595,0.00143595,0.00143595
16,1533.36,1.25571,0.8412,1.58055,0.69517,0.78237,0.80069,0.52796,1.19089,0.70276,1.62875,0.00141945,0.00141945,0.00141945
17,1628.36,1.26166,0.83253,1.57042,0.71529,0.79875,0.78687,0.47588,1.22397,0.70839,1.69392,0.00140295,0.00140295,0.00140295
