epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1722.81,1.2261,0.81353,1.55217,0.70305,0.77344,0.73571,0.47365,1.2112,0.72679,1.66583,0.00138644,0.00138644,0.00138644
19,1817.38,1.241,0.81643,1.56501,0.75295,0.75927,0.78686,0.50512,1.16551,0.67932,1.62263,0.00136994,0.00136994,0.00136994
20,1913.55,1.20587,0.80585,1.53846,0.77516,0.73618,0.78214,0.47033,1.26669,0.71193,1.7402,0.00135344,0.00135344,0.00135344
21,2008.24,1.2214,0.80634,1.54758,0.73996,0.76199,0.77233,0.51181,1.15972,0.67689,1.61032,0.00133693,0.00133693,0.00133693
22,2102.53,1.20626,0.79043,1.53754,0.748,0.8245,0.80379,0.51062,1.18411,0.68141,1.646,0.00132043,0.00132043,0.00132043
23,2197.55,1.20132,0.7723,1.52748,0.7088,0.84349,0.7777,0.50611,1.17628,0.72403,1.62635,0.00130393,0.00130393,0.00130393
24,2291.74,1.18839,0.77029,1.52566,0.74086,0.74675,0.77072,0.51631,1.18735,0.6722,1.63061,0.00128742,0.00128742,0.00128742
25,2388.34,1.19126,0.74882,1.5208,0.79199,0.75063,0.80314,0.52908,1.15947,0.68204,1.59347,0.00127092,0.00127092,0.00127092
26,2483.69,1.15013,0.7483,1.48443,0.72972,0.79412,0.79817,0.51149,1.17639,0.68038,1.66967,0.00125442,0.00125442,0.00125442
27,2579.29,1.1521,0.75139,1.49057,0.73398,0.77451,0.79398,0.49976,1.17188,0.66722,1.64426,0.00123791,0.00123791,0.00123791
28,2674.19,1.16651,0.73526,1.50105,0.6731,0.84381,0.76994,0.51021,1.21958,0.72111,1.65971,0.00122141,0.00122141,0.00122141
29,2769.01,1.17926,0.74448,1.49923,0.74791,0.7947,0.79721,0.50669,1.14388,0.67758,1.57349,0.00120491,0.00120491,0.00120491
30,2866.35,1.13152,0.72781,1.47915,0.72358,0.80994,0.80049,0.51482,1.20826,0.64422,1.64083,0.0011884,0.0011884,0.0011884
31,2960.99,1.14114,0.74109,1.48592,0.80353,0.78053,0.82347,0.52552,1.19322,0.64123,1.67097,0.0011719,0.0011719,0.0011719
32,3055.63,1.12329,0.72374,1.46815,0.65897,0.82301,0.74319,0.48641,1.202,0.70869,1.65483,0.0011554,0.0011554,0.0011554
33,3149.57,1.12336,0.70714,1.47387,0.73193,0.75965,0.78495,0.51447,1.15589,0.65746,1.60556,0.00113889,0.00113889,0.00113889
34,3244.38,1.11089,0.7152,1.47081,0.73213,0.79275,0.78295,0.52432,1.21362,0.65138,1.66351,0.00112239,0.00112239,0.00112239
35,3341.14,1.106,0.70365,1.46348,0.802,0.81921,0.8286,0.54228,1.19356,0.63321,1.64414,0.00110589,0.00110589,0.00110589
36,3435.83,1.08204,0.69092,1.43177,0.72024,0.82412,0.78418,0.50877,1.22729,0.66623,1.67278,0.00108938,0.00108938,0.00108938
37,3530.41,1.10599,0.70512,1.46328,0.72968,0.80781,0.77285,0.50902,1.19828,0.70517,1.60564,0.00107288,0.00107288,0.00107288
38,3625.15,1.07166,0.69513,1.43191,0.75184,0.79634,0.79912,0.5353,1.14696,0.66553,1.59065,0.00105638,0.00105638,0.00105638
39,3722.08,1.06757,0.6848,1.42796,0.75614,0.73776,0.76881,0.48537,1.20395,0.69682,1.67251,0.00103987,0.00103987,0.00103987
40,3816.72,1.06191,0.66979,1.42374,0.7308,0.76199,0.75552,0.4767,1.18703,0.70141,1.6753,0.00102337,0.00102337,0.00102337
41,3910.84,1.05429,0.65764,1.41591,0.80431,0.76092,0.79427,0.49666,1.21941,0.65486,1.67734,0.00100687,0.00100687,0.00100687
42,4006.28,1.04511,0.66286,1.41622,0.71635,0.77403,0.79172,0.52451,1.19218,0.71756,1.6451,0.000990365,0.000990365,0.000990365
43,4100.62,1.0439,0.65616,1.40804,0.68364,0.87474,0.78654,0.51755,1.18593,0.69463,1.59396,0.000973861,0.000973861,0.000973861
44,4196.6,1.04005,0.65756,1.40176,0.7308,0.79742,0.78127,0.51885,1.21807,0.6853,1.64665,0.000957358,0.000957358,0.000957358
45,4291.53,1.03433,0.65564,1.39852,0.70643,0.79216,0.76968,0.49427,1.1885,0.68383,1.66107,0.000940855,0.000940855,0.000940855
46,4385.99,1.04021,0.65282,1.39951,0.76638,0.74132,0.76891,0.49873,1.21877,0.67669,1.65266,0.000924352,0.000924352,0.000924352
47,4480.79,1.02604,0.64656,1.39437,0.81258,0.77081,0.78241,0.50175,1.24182,0.68299,1.66826,0.000907848,0.000907848,0.000907848
48,4575.61,1.01733,0.64981,1.3792,0.7398,0.81896,0.80565,0.50853,1.22235,0.70335,1.67234,0.000891345,0.000891345,0.000891345
49,4672.35,0.99779,0.62828,1.36643,0.7283,0.82306,0.79608,0.52948,1.24151,0.69946,1.70603,0.000874842,0.000874842,0.000874842
50,4766.48,0.97605,0.61408,1.36249,0.75547,0.76365,0.8024,0.52735,1.20482,0.67815,1.69302,0.000858338,0.000858338,0.000858338
51,4860.99,0.99221,0.62361,1.37405,0.77501,0.79215,0.79854,0.5026,1.26087,0.70267,1.73814,0.000841835,0.000841835,0.000841835
52,4956.24,1.01599,0.62108,1.37603,0.7732,0.76242,0.79569,0.51123,1.25894,0.69308,1.75114,0.000825332,0.000825332,0.000825332
53,5052.02,0.97371,0.61093,1.36162,0.80239,0.75821,0.80428,0.50369,1.2509,0.65677,1.75674,0.000808828,0.000808828,0.000808828
54,5146.13,0.97925,0.617,1.35334,0.77927,0.77468,0.79328,0.50189,1.22413,0.71513,1.70557,0.000792325,0.000792325,0.000792325
55,5240.76,0.97361,0.60836,1.35822,0.73692,0.79979,0.7991,0.50761,1.21919,0.69197,1.70568,0.000775822,0.000775822,0.000775822
56,5334.8,0.97408,0.60848,1.35673,0.83288,0.75554,0.81601,0.5125,1.21993,0.65244,1.70311,0.000759318,0.000759318,0.000759318
57,5429.74,0.94117,0.59915,1.32961,0.75703,0.77403,0.79512,0.48764,1.21648,0.69688,1.70149,0.000742815,0.000742815,0.000742815
58,5527.77,0.96444,0.61032,1.34621,0.72962,0.80823,0.77416,0.48106,1.25259,0.72009,1.70211,0.000726312,0.000726312,0.000726312
59,5622.16,0.93575,0.58102,1.32448,0.73678,0.79256,0.76551,0.47782,1.22966,0.71575,1.71435,0.000709809,0.000709809,0.000709809
60,5717.05,0.94119,0.58261,1.32189,0.77321,0.79543,0.79738,0.50675,1.26201,0.68397,1.73659,0.000693305,0.000693305,0.000693305
61,5811.62,0.95995,0.58617,1.33482,0.78856,0.79907,0.80019,0.51435,1.24253,0.67396,1.70299,0.000676802,0.000676802,0.000676802
62,5908.18,0.92153,0.57821,1.30024,0.79231,0.73348,0.78263,0.51408,1.2299,0.68901,1.71323,0.000660299,0.000660299,0.000660299
63,6002.43,0.91173,0.57661,1.30157,0.76439,0.80451,0.78185,0.50101,1.23859,0.66007,1.70679,0.000643795,0.000643795,0.000643795
64,6096.7,0.91196,0.56977,1.30459,0.75922,0.79422,0.79965,0.51054,1.22835,0.66006,1.68216,0.000627292,0.000627292,0.000627292
65,6191.16,0.92311,0.58317,1.30694,0.77509,0.78296,0.77447,0.50531,1.24875,0.65597,1.72417,0.000610789,0.000610789,0.000610789
66,6285.76,0.89647,0.5619,1.29035,0.78532,0.78762,0.80143,0.51149,1.24086,0.64808,1.73236,0.000594286,0.000594286,0.000594286
67,6382.88,0.89289,0.55545,1.29243,0.74426,0.79014,0.79389,0.5069,1.26804,0.67923,1.74448,0.000577782,0.000577782,0.000577782
68,6477.4,0.89061,0.55138,1.28223,0.69816,0.81135,0.75554,0.49317,1.24914,0.71683,1.75495,0.000561279,0.000561279,0.000561279
69,6571.81,0.88369,0.5445,1.28058,0.76152,0.77286,0.78909,0.51431,1.2424,0.66415,1.74743,0.000544776,0.000544776,0.000544776
70,6666,0.90059,0.54006,1.28849,0.79358,0.72565,0.76524,0.50652,1.23226,0.709,1.74185,0.000528272,0.000528272,0.000528272
71,6761.79,0.87915,0.53491,1.2751,0.74368,0.76212,0.77582,0.49741,1.24649,0.70588,1.72727,0.000511769,0.000511769,0.000511769
72,6856.12,0.8809,0.55166,1.2816,0.79188,0.77628,0.78415,0.49502,1.23856,0.70508,1.74253,0.000495266,0.000495266,0.000495266
73,6950.62,0.87285,0.53058,1.27731,0.79426,0.76463,0.77521,0.49843,1.25247,0.6752,1.77886,0.000478762,0.000478762,0.000478762
74,7044.97,0.85353,0.52861,1.25808,0.77437,0.74978,0.7707,0.4918,1.23337,0.68655,1.72886,0.000462259,0.000462259,0.000462259
75,7139.31,0.86203,0.53728,1.26175,0.75276,0.75137,0.7745,0.48523,1.26309,0.72509,1.80176,0.000445756,0.000445756,0.000445756
76,7235.71,0.86792,0.52433,1.26185,0.77918,0.74084,0.77452,0.49962,1.2554,0.71097,1.76339,0.000429253,0.000429253,0.000429253
77,7330.58,0.84056,0.51071,1.24422,0.7807,0.76361,0.79033,0.50801,1.22109,0.68282,1.74265,0.000412749,0.000412749,0.000412749
78,7424.78,0.85685,0.51986,1.25788,0.76198,0.75499,0.77772,0.49127,1.22345,0.70387,1.73527,0.000396246,0.000396246,0.000396246
79,7519.28,0.84136,0.51621,1.2426,0.73445,0.81227,0.80201,0.51273,1.23576,0.67633,1.78436,0.000379743,0.000379743,0.000379743
80,7613.73,0.83031,0.50609,1.23952,0.78773,0.77469,0.79313,0.51022,1.22878,0.68342,1.76285,0.000363239,0.000363239,0.000363239
81,7710.56,0.81833,0.50383,1.23276,0.75874,0.78314,0.79142,0.51536,1.25216,0.69516,1.76567,0.000346736,0.000346736,0.000346736
82,7805.24,0.83684,0.51428,1.24169,0.76848,0.78868,0.78772,0.49707,1.25538,0.69159,1.77959,0.000330233,0.000330233,0.000330233
83,7899.53,0.81904,0.49078,1.2298,0.75005,0.77821,0.79007,0.50411,1.24939,0.70125,1.77149,0.000313729,0.000313729,0.000313729
84,7994.39,0.82534,0.5011,1.23942,0.76869,0.77352,0.77511,0.49797,1.22813,0.70547,1.76135,0.000297226,0.000297226,0.000297226
85,8091.05,0.80889,0.50558,1.22344,0.78096,0.77857,0.78275,0.4966,1.24961,0.68762,1.79308,0.000280723,0.000280723,0.000280723
86,8185.96,0.80921,0.49567,1.22459,0.74187,0.78386,0.77356,0.5005,1.24805,0.70472,1.79729,0.00026422,0.00026422,0.00026422
87,8280.5,0.80976,0.50534,1.22533,0.79399,0.72938,0.77837,0.4981,1.25201,0.7086,1.81119,0.000247716,0.000247716,0.000247716
88,8375.46,0.80601,0.4948,1.22531,0.7717,0.73635,0.76835,0.48582,1.27328,0.69718,1.81103,0.000231213,0.000231213,0.000231213
89,8471.82,0.79785,0.48829,1.21911,0.74844,0.76588,0.76934,0.49579,1.24325,0.7202,1.7976,0.00021471,0.00021471,0.00021471
90,8566.93,0.79838,0.4986,1.21866,0.74922,0.76942,0.77283,0.49213,1.2514,0.70774,1.81415,0.000198206,0.000198206,0.000198206
91,8664.38,0.61084,0.33899,1.10891,0.75948,0.77675,0.7704,0.49342,1.27171,0.71668,1.82798,0.000181703,0.000181703,0.000181703
