epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.78,3.14743,3.25105,3.7221,0.4338,0.61627,0.50878,0.23701,1.98271,2.49339,2.77792,0.000552902,0.000552902,0.000552902
2,203.279,1.87174,1.75516,2.3205,0.46835,0.65109,0.61306,0.36548,1.48114,1.24191,2.10047,0.00108113,0.00108113,0.00108113
3,300.372,1.70336,1.38636,2.02541,0.62797,0.73825,0.70077,0.4064,1.39841,1.15982,1.93311,0.00158186,0.00158186,0.00158186
4,395.23,1.58265,1.19832,1.88117,0.67592,0.69375,0.70004,0.44751,1.29932,0.98789,1.83801,0.00154323,0.00154323,0.00154323
5,490.788,1.50304,1.09079,1.78871,0.62938,0.7466,0.71129,0.44487,1.3378,0.88429,1.83951,0.00150197,0.00150197,0.00150197
6,593.981,1.47706,1.05315,1.7699,0.6879,0.76908,0.73384,0.43312,1.32925,0.91611,1.83132,0.00146071,0.00146071,0.00146071
7,704.689,1.39324,0.98967,1.68663,0.63765,0.76511,0.7157,0.45503,1.29263,0.91204,1.7357,0.00141945,0.00141945,0.00141945
8,811.28,1.40574,0.97914,1.68217,0.74006,0.75089,0.76145,0.4611,1.35601,0.83032,1.8362,0.00137819,0.00137819,0.00137819
9,914.215,1.33477,0.93231,1.63483,0.75774,0.79849,0.80172,0.50931,1.19954,0.80613,1.62317,0.00133693,0.00133693,0.00133693
10,1021.16,1.32869,0.93175,1.62375,0.71622,0.81138,0.79953,0.50155,1.24985,0.73358,1.6945,0.00129568,0.00129568,0.00129568
11,1119.67,1.32176,0.89845,1.61848,0.72118,0.76752,0.78529,0.49844,1.19874,0.72582,1.65293,0.00125442,0.00125442,0.00125442
12,1221.6,1.31117,0.8891,1.61443,0.75903,0.77145,0.79173,0.49763,1.2013,0.75433,1.66147,0.00121316,0.00121316,0.00121316
13,1321.26,1.28062,0.87454,1.58572,0.88397,0.72861,0.81481,0.52479,1.20655,0.70099,1.62621,0.0011719,0.0011719,0.0011719
14,1423.06,1.25661,0.85131,1.56701,0.78491,0.77269,0.82147,0.51958,1.21345,0.69118,1.66171,0.00113064,0.00113064,0.00113064
