epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.037,3.00352,3.26456,3.63244,0.91847,0.36413,0.47751,0.25804,1.83002,2.3581,2.61331,0.000552902,0.000552902,0.000552902
2,203.186,1.81168,1.73114,2.24154,0.49381,0.73529,0.59431,0.37718,1.43668,1.10196,1.94633,0.00108113,0.00108113,0.00108113
3,297.709,1.66831,1.38252,1.93598,0.5175,0.68577,0.65278,0.41963,1.32816,1.15973,1.72999,0.00158186,0.00158186,0.00158186
4,392.353,1.55044,1.22089,1.81924,0.54019,0.71998,0.69598,0.44564,1.2516,0.96527,1.68466,0.00154323,0.00154323,0.00154323
5,486.475,1.48679,1.09281,1.74055,0.49877,0.64706,0.57674,0.357,1.40137,1.0054,1.82842,0.00150197,0.00150197,0.00150197
6,580.931,1.47558,1.05544,1.74282,0.74458,0.69501,0.69889,0.40614,1.28337,0.9647,1.7167,0.00146071,0.00146071,0.00146071
7,675.889,1.36646,0.98094,1.65694,0.74311,0.73588,0.76306,0.50456,1.25409,0.81714,1.6556,0.00141945,0.00141945,0.00141945
8,770.835,1.38375,0.95295,1.65209,0.68104,0.70647,0.72006,0.46937,1.29043,0.83004,1.70502,0.00137819,0.00137819,0.00137819
9,864.783,1.31865,0.91412,1.6119,0.73734,0.70292,0.74276,0.48034,1.19513,0.85248,1.60447,0.00133693,0.00133693,0.00133693
10,958.997,1.30941,0.90765,1.59715,0.74389,0.85014,0.78892,0.49222,1.19753,0.76647,1.62885,0.00129568,0.00129568,0.00129568
11,1052.44,1.31812,0.87376,1.58963,0.73536,0.74428,0.76203,0.45648,1.26452,0.77111,1.67453,0.00125442,0.00125442,0.00125442
12,1147.42,1.28154,0.86649,1.58231,0.7498,0.74183,0.7708,0.48969,1.21124,0.75975,1.59707,0.00121316,0.00121316,0.00121316
13,1241.77,1.26878,0.86062,1.56667,0.67552,0.80631,0.76612,0.49638,1.22209,0.73278,1.62611,0.0011719,0.0011719,0.0011719
14,1336.7,1.24064,0.83801,1.54685,0.79962,0.71358,0.78505,0.49685,1.21594,0.76418,1.64406,0.00113064,0.00113064,0.00113064
15,1430.63,1.24773,0.81034,1.55464,0.80315,0.75927,0.80106,0.51991,1.17265,0.70795,1.58595,0.00108938,0.00108938,0.00108938
16,1526.08,1.22611,0.81317,1.53991,0.78109,0.74992,0.79412,0.52845,1.22323,0.71943,1.58307,0.00104813,0.00104813,0.00104813
17,1620,1.21893,0.79334,1.52617,0.77305,0.7947,0.82118,0.50384,1.2288,0.68326,1.67542,0.00100687,0.00100687,0.00100687
18,1713.53,1.18378,0.77349,1.51088,0.69542,0.81809,0.75497,0.49816,1.17421,0.68403,1.59225,0.00096561,0.00096561,0.00096561
19,1807.77,1.20124,0.78253,1.51953,0.73841,0.82093,0.76531,0.50913,1.20385,0.68535,1.56282,0.000924352,0.000924352,0.000924352
20,1901.96,1.17164,0.76125,1.49841,0.69717,0.83935,0.7733,0.50059,1.20524,0.70084,1.63109,0.000883093,0.000883093,0.000883093
21,1996.87,1.18545,0.754,1.50558,0.70878,0.81975,0.77857,0.50429,1.16859,0.67363,1.56347,0.000841835,0.000841835,0.000841835
22,2091.74,1.15646,0.74043,1.48287,0.70006,0.82704,0.79873,0.51117,1.19034,0.67689,1.60702,0.000800577,0.000800577,0.000800577
23,2186.04,1.15265,0.72484,1.47265,0.74353,0.7817,0.75476,0.50198,1.19371,0.68997,1.53132,0.000759318,0.000759318,0.000759318
