epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,2280.01,1.12548,0.72513,1.46524,0.7658,0.79199,0.79987,0.53319,1.17094,0.64638,1.5829,0.00071806,0.00071806,0.00071806
25,2375.4,1.12308,0.70111,1.46863,0.72971,0.81266,0.77561,0.51304,1.18123,0.66397,1.58981,0.000676802,0.000676802,0.000676802
26,2469.4,1.09152,0.69466,1.43119,0.72955,0.75209,0.785,0.49921,1.21421,0.66764,1.61017,0.000635544,0.000635544,0.000635544
27,2563.37,1.08073,0.68716,1.42744,0.79364,0.79651,0.80867,0.52125,1.19586,0.64849,1.61605,0.000594286,0.000594286,0.000594286
28,2658.31,1.09753,0.67727,1.44181,0.76756,0.7753,0.80757,0.50812,1.22517,0.65351,1.63973,0.000553027,0.000553027,0.000553027
29,2752.83,1.08589,0.67684,1.42608,0.75478,0.79636,0.76904,0.48553,1.18041,0.67175,1.58927,0.000511769,0.000511769,0.000511769
30,2848.37,1.06179,0.64903,1.41634,0.7955,0.78022,0.8045,0.50713,1.23738,0.67457,1.6424,0.000470511,0.000470511,0.000470511
31,2945.01,0.91261,0.52708,1.34344,0.80528,0.78927,0.81085,0.53191,1.1923,0.63142,1.5991,0.000429253,0.000429253,0.000429253
32,3041.12,0.87738,0.5025,1.31434,0.77504,0.7751,0.79241,0.52073,1.21368,0.69258,1.62237,0.000387994,0.000387994,0.000387994
33,3135.94,0.85958,0.49287,1.30553,0.71202,0.80994,0.77399,0.50888,1.23635,0.67964,1.64725,0.000346736,0.000346736,0.000346736
34,3235.05,0.85434,0.48827,1.29779,0.72136,0.78702,0.7803,0.5065,1.23493,0.68429,1.65343,0.000305478,0.000305478,0.000305478
25,100.885,1.11471,0.71234,1.44447,0.72902,0.75864,0.77313,0.49863,1.21994,0.69027,1.62271,0.000676802,0.000676802,0.000676802
26,196.228,1.10445,0.69016,1.44127,0.80306,0.76694,0.78711,0.48581,1.19492,0.67849,1.5989,0.000635544,0.000635544,0.000635544
27,290.828,1.09428,0.71038,1.4387,0.7922,0.77931,0.79756,0.5119,1.20371,0.65609,1.60768,0.000594286,0.000594286,0.000594286
28,385.801,1.09962,0.68921,1.44633,0.77478,0.78762,0.7976,0.49774,1.24624,0.67487,1.70918,0.000553027,0.000553027,0.000553027
29,480.202,1.06219,0.65783,1.41827,0.70404,0.78053,0.76759,0.48821,1.19966,0.66292,1.60744,0.000511769,0.000511769,0.000511769
30,575.063,1.07525,0.67536,1.434,0.76312,0.77781,0.80304,0.49646,1.24824,0.67274,1.66286,0.000470511,0.000470511,0.000470511
25,98.6537,1.11471,0.71234,1.44447,0.72902,0.75864,0.77313,0.49863,1.21994,0.69027,1.62271,0.000676802,0.000676802,0.000676802
26,195.046,1.10445,0.69016,1.44127,0.80306,0.76694,0.78711,0.48581,1.19492,0.67849,1.5989,0.000635544,0.000635544,0.000635544
27,289.686,1.09428,0.71038,1.4387,0.7922,0.77931,0.79756,0.5119,1.20371,0.65609,1.60768,0.000594286,0.000594286,0.000594286
28,386.471,1.09962,0.68921,1.44633,0.77478,0.78762,0.7976,0.49774,1.24624,0.67487,1.70918,0.000553027,0.000553027,0.000553027
29,482.802,1.06219,0.65783,1.41827,0.70404,0.78053,0.76759,0.48821,1.19966,0.66292,1.60744,0.000511769,0.000511769,0.000511769
25,159.671,1.16185,0.77211,1.49398,0.79574,0.77059,0.81494,0.50973,1.20204,0.6489,1.59687,0.000676802,0.000676802,0.000676802
26,316.912,1.16406,0.76688,1.49582,0.7672,0.75542,0.78427,0.49618,1.23746,0.67633,1.67684,0.000635544,0.000635544,0.000635544
27,472.477,1.15427,0.75902,1.48782,0.73458,0.81753,0.79586,0.52873,1.18871,0.65537,1.61431,0.000594286,0.000594286,0.000594286
28,628.823,1.14421,0.73571,1.48145,0.77316,0.73812,0.7632,0.50093,1.16082,0.69401,1.56312,0.000553027,0.000553027,0.000553027
29,785.393,1.13771,0.74115,1.4808,0.79057,0.7448,0.79112,0.5129,1.19518,0.67744,1.63844,0.000511769,0.000511769,0.000511769
30,941.991,1.13103,0.72124,1.49174,0.75645,0.79328,0.80074,0.52108,1.21653,0.66163,1.65405,0.000470511,0.000470511,0.000470511
31,1100.95,0.94288,0.56562,1.38289,0.77274,0.82412,0.80433,0.51231,1.23836,0.64992,1.67492,0.000429253,0.000429253,0.000429253
32,1259.12,0.91768,0.53976,1.35706,0.75077,0.79219,0.8158,0.51696,1.20834,0.65558,1.63042,0.000387994,0.000387994,0.000387994
33,1419.78,0.8872,0.53491,1.32198,0.73301,0.80888,0.79458,0.53236,1.19502,0.65445,1.5928,0.000346736,0.000346736,0.000346736
34,1576.76,0.88869,0.51566,1.3276,0.77792,0.75929,0.81353,0.51924,1.21835,0.65902,1.63846,0.000305478,0.000305478,0.000305478
35,1735.84,0.87326,0.51109,1.32331,0.80821,0.79271,0.79952,0.51522,1.23018,0.65635,1.66811,0.00026422,0.00026422,0.00026422
36,1894.39,0.84799,0.49942,1.30215,0.79265,0.79267,0.813,0.53042,1.22689,0.65154,1.65734,0.000222961,0.000222961,0.000222961
37,2054.34,0.84328,0.49208,1.30223,0.77557,0.81103,0.82271,0.52001,1.23954,0.65122,1.6713,0.000181703,0.000181703,0.000181703
38,2215.51,0.83392,0.48017,1.28654,0.78313,0.80888,0.80558,0.51878,1.22934,0.65268,1.66621,0.000140445,0.000140445,0.000140445
39,2373.38,0.81886,0.47133,1.28012,0.79743,0.75563,0.7946,0.51436,1.22906,0.66744,1.66312,9.91865e-05,9.91865e-05,9.91865e-05
40,2532.49,0.79852,0.46613,1.2625,0.798,0.7997,0.80463,0.51712,1.22037,0.65922,1.64985,5.79283e-05,5.79283e-05,5.79283e-05
