epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.808,4.05048,4.14435,4.23755,0.00343,0.89381,0.07884,0.02799,2.52886,3.30545,4.06447,0.000547373,0.000547373,0.000547373
2,80.7807,2.54184,2.55341,3.38076,0.83579,0.35326,0.45023,0.18748,2.18407,2.59668,3.11318,0.00109212,0.00109212,0.00109212
3,116.18,2.21252,2.14448,2.71419,0.84587,0.3913,0.47452,0.2364,1.94431,3.01918,2.58167,0.00162586,0.00162586,0.00162586
4,151.167,2.02113,1.81543,2.36373,0.91625,0.44293,0.51353,0.29788,1.77917,1.44573,2.3095,0.00161749,0.00161749,0.00161749
5,186.049,1.83028,1.59168,2.12986,0.47311,0.66395,0.56354,0.33869,1.52761,1.21467,2.01645,0.00160099,0.00160099,0.00160099
6,221.406,1.72189,1.4604,2.00857,0.91413,0.46739,0.548,0.34676,1.50883,1.36048,2.01386,0.00158448,0.00158448,0.00158448
7,255.974,1.62776,1.32738,1.93268,0.91607,0.48493,0.54898,0.3379,1.49775,1.32422,1.99493,0.00156798,0.00156798,0.00156798
8,290.689,1.59283,1.29053,1.8936,0.63411,0.66667,0.67454,0.39276,1.42052,1.1013,1.83099,0.00155148,0.00155148,0.00155148
9,325.346,1.58004,1.22177,1.87982,0.57829,0.73333,0.6847,0.41701,1.35929,0.96667,1.80432,0.00153497,0.00153497,0.00153497
10,360.697,1.55273,1.2056,1.83289,0.55805,0.69476,0.65263,0.3888,1.38178,1.21424,1.8818,0.00151847,0.00151847,0.00151847
11,395.904,1.52977,1.15879,1.81586,0.66198,0.63891,0.6716,0.42725,1.34109,1.11099,1.75966,0.00150197,0.00150197,0.00150197
12,431.147,1.52338,1.16614,1.78843,0.43417,0.62721,0.67196,0.4323,1.36832,1.89037,1.76679,0.00148546,0.00148546,0.00148546
13,467.011,1.54257,1.10899,1.79102,0.68806,0.71734,0.7018,0.41577,1.35173,0.96241,1.7724,0.00146896,0.00146896,0.00146896
14,502.073,1.47148,1.07827,1.75397,0.63233,0.71569,0.65568,0.41012,1.35934,0.97134,1.84202,0.00145246,0.00145246,0.00145246
15,536.612,1.4465,1.06939,1.74308,0.65116,0.72549,0.71936,0.43709,1.32103,0.86255,1.78139,0.00143595,0.00143595,0.00143595
16,570.924,1.37707,1.04279,1.68889,0.61293,0.66832,0.66033,0.43053,1.29356,0.9139,1.74019,0.00141945,0.00141945,0.00141945
17,605.744,1.40748,1.02947,1.71293,0.64225,0.78431,0.71978,0.44406,1.28662,0.86285,1.71473,0.00140295,0.00140295,0.00140295
18,640.33,1.42148,1.02209,1.7239,0.65569,0.72006,0.7158,0.46695,1.27871,0.87062,1.70814,0.00138644,0.00138644,0.00138644
19,675.344,1.44152,1.01098,1.69851,0.49881,0.70588,0.62013,0.38631,1.39115,0.92753,1.84898,0.00136994,0.00136994,0.00136994
20,709.22,1.39632,1.01774,1.68489,0.72835,0.58552,0.68333,0.44442,1.22806,1.11613,1.6762,0.00135344,0.00135344,0.00135344
21,742.729,1.41436,1.00316,1.71255,0.77601,0.76079,0.79839,0.50319,1.26955,0.81653,1.66768,0.00133693,0.00133693,0.00133693
22,777.178,1.37705,0.9786,1.68689,0.78447,0.69608,0.76026,0.46796,1.31162,0.82892,1.7715,0.00132043,0.00132043,0.00132043
23,811.458,1.37712,0.97509,1.67768,0.64918,0.79305,0.74121,0.46342,1.25791,0.87831,1.7001,0.00130393,0.00130393,0.00130393
24,845.524,1.39826,0.99754,1.66859,0.62759,0.75685,0.70105,0.41921,1.3367,0.89012,1.80253,0.00128742,0.00128742,0.00128742
25,879.193,1.33338,0.94905,1.63994,0.63965,0.83831,0.74365,0.44053,1.34154,0.81663,1.79081,0.00127092,0.00127092,0.00127092
26,913.221,1.33204,0.93844,1.65446,0.73038,0.72172,0.76711,0.49817,1.22129,0.80063,1.62272,0.00125442,0.00125442,0.00125442
27,946.99,1.30001,0.91811,1.62052,0.68057,0.78797,0.77547,0.49458,1.223,0.77851,1.64919,0.00123791,0.00123791,0.00123791
28,980.788,1.3159,0.91483,1.6355,0.71763,0.73031,0.74832,0.48086,1.23075,0.79524,1.64785,0.00122141,0.00122141,0.00122141
29,1015.44,1.31551,0.90668,1.61459,0.74197,0.73486,0.7448,0.4552,1.26669,0.84691,1.7265,0.00120491,0.00120491,0.00120491
30,1050.05,1.28577,0.88026,1.61027,0.67303,0.70265,0.65889,0.42531,1.28592,0.83411,1.68843,0.0011884,0.0011884,0.0011884
31,1083.54,1.32196,0.92532,1.63327,0.67294,0.75551,0.71519,0.43045,1.26425,1.02402,1.72585,0.0011719,0.0011719,0.0011719
32,1117.15,1.30211,0.90114,1.59913,0.67274,0.76683,0.75496,0.49951,1.20096,0.77442,1.6133,0.0011554,0.0011554,0.0011554
