epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1150.75,1.30617,0.93455,1.62226,0.7142,0.73258,0.77522,0.46051,1.28655,0.80172,1.71547,0.00113889,0.00113889,0.00113889
34,1184.64,1.29756,0.88902,1.59555,0.71771,0.67647,0.72574,0.44511,1.27753,0.82935,1.73932,0.00112239,0.00112239,0.00112239
35,1218.16,1.35625,0.90027,1.65478,0.72791,0.74403,0.76271,0.49405,1.22182,0.76121,1.62997,0.00110589,0.00110589,0.00110589
36,1252.64,1.32014,0.89971,1.63299,0.71789,0.78372,0.75735,0.49295,1.23867,0.76528,1.65038,0.00108938,0.00108938,0.00108938
37,1286.55,1.27151,0.84056,1.59629,0.67733,0.85282,0.76873,0.48835,1.20884,0.73631,1.6203,0.00107288,0.00107288,0.00107288
38,1320.09,1.29036,0.87176,1.595,0.71237,0.76345,0.75805,0.47127,1.21552,0.77452,1.66169,0.00105638,0.00105638,0.00105638
39,1353.75,1.26718,0.87272,1.59458,0.76345,0.72229,0.77574,0.46341,1.24761,0.78898,1.72284,0.00103987,0.00103987,0.00103987
40,1387.41,1.25511,0.88619,1.57855,0.75136,0.72549,0.77324,0.4779,1.2495,0.74788,1.70729,0.00102337,0.00102337,0.00102337
41,1421.85,1.25084,0.84977,1.5539,0.71839,0.72714,0.7579,0.49179,1.21678,0.74762,1.60293,0.00100687,0.00100687,0.00100687
42,1455.94,1.21948,0.8537,1.54373,0.77722,0.76022,0.77302,0.45999,1.25337,0.76247,1.71254,0.000990365,0.000990365,0.000990365
43,1489.56,1.2592,0.83839,1.57705,0.66862,0.83314,0.79183,0.49395,1.19041,0.74127,1.64104,0.000973861,0.000973861,0.000973861
44,1523.1,1.25002,0.83582,1.55789,0.69372,0.75218,0.7332,0.46391,1.19639,0.75022,1.58775,0.000957358,0.000957358,0.000957358
45,1556.9,1.25376,0.86067,1.58318,0.6796,0.82081,0.76545,0.49646,1.22897,0.71227,1.68673,0.000940855,0.000940855,0.000940855
46,1590.77,1.18276,0.82506,1.52768,0.72736,0.79488,0.79772,0.49309,1.22325,0.73006,1.70158,0.000924352,0.000924352,0.000924352
47,1624.75,1.24345,0.83096,1.59241,0.7069,0.7914,0.80708,0.48552,1.20777,0.73091,1.62624,0.000907848,0.000907848,0.000907848
48,1659.26,1.22625,0.82074,1.56554,0.71067,0.77541,0.79165,0.48737,1.20645,0.71871,1.62848,0.000891345,0.000891345,0.000891345
49,1693.66,1.19594,0.81318,1.53339,0.7133,0.8286,0.78243,0.47745,1.22427,0.72825,1.68632,0.000874842,0.000874842,0.000874842
50,1727.88,1.20856,0.8001,1.54007,0.78983,0.77185,0.81383,0.51272,1.16843,0.69254,1.62907,0.000858338,0.000858338,0.000858338
51,1761.83,1.20888,0.79808,1.54769,0.73458,0.76364,0.76201,0.50215,1.17796,0.72182,1.61691,0.000841835,0.000841835,0.000841835
52,1795.79,1.19884,0.78427,1.52208,0.76459,0.79742,0.80299,0.51255,1.19371,0.70841,1.59968,0.000825332,0.000825332,0.000825332
53,1829.38,1.187,0.78362,1.52877,0.71254,0.81538,0.78643,0.50289,1.17188,0.70683,1.64155,0.000808828,0.000808828,0.000808828
54,1863.46,1.19824,0.77287,1.53361,0.74485,0.78283,0.76184,0.46731,1.21581,0.73009,1.70601,0.000792325,0.000792325,0.000792325
55,1896.99,1.20704,0.77888,1.53869,0.70811,0.80994,0.77708,0.48433,1.22068,0.71051,1.66872,0.000775822,0.000775822,0.000775822
56,1930.93,1.17961,0.80326,1.53782,0.77055,0.75438,0.78595,0.50679,1.16191,0.71116,1.59867,0.000759318,0.000759318,0.000759318
57,1964.51,1.1955,0.81968,1.517,0.86432,0.6494,0.7941,0.50217,1.17012,0.67601,1.6046,0.000742815,0.000742815,0.000742815
58,1997.97,1.18406,0.78106,1.52227,0.79447,0.7321,0.80538,0.50357,1.20582,0.6957,1.61846,0.000726312,0.000726312,0.000726312
59,2031.33,1.15847,0.76364,1.50054,0.68127,0.80087,0.78149,0.48805,1.22903,0.69323,1.69734,0.000709809,0.000709809,0.000709809
60,2065.31,1.1806,0.78427,1.50742,0.75018,0.78431,0.81341,0.50587,1.18005,0.70881,1.61514,0.000693305,0.000693305,0.000693305
61,2099.08,1.15607,0.74541,1.50392,0.65117,0.87833,0.79816,0.49636,1.17151,0.7123,1.628,0.000676802,0.000676802,0.000676802
62,2132.82,1.17631,0.769,1.52283,0.64571,0.83001,0.77026,0.48431,1.21172,0.70142,1.65633,0.000660299,0.000660299,0.000660299
63,2166.9,1.1455,0.76162,1.48919,0.74107,0.75639,0.78669,0.45557,1.2713,0.71164,1.72655,0.000643795,0.000643795,0.000643795
64,2200.91,1.17178,0.77983,1.50949,0.75657,0.76908,0.80346,0.50576,1.18037,0.68213,1.60831,0.000627292,0.000627292,0.000627292
65,2234.44,1.11688,0.74624,1.46604,0.72898,0.80197,0.80186,0.48494,1.24755,0.71681,1.69699,0.000610789,0.000610789,0.000610789
66,2268.94,1.1269,0.74585,1.49248,0.73121,0.8295,0.80378,0.51457,1.19997,0.67089,1.60494,0.000594286,0.000594286,0.000594286
67,2302.7,1.10573,0.72018,1.46324,0.75701,0.79382,0.80055,0.48571,1.1818,0.66887,1.66576,0.000577782,0.000577782,0.000577782
68,2336.62,1.10875,0.72222,1.45251,0.74934,0.79577,0.82174,0.48855,1.2043,0.67731,1.65963,0.000561279,0.000561279,0.000561279
69,2370.52,1.14157,0.72145,1.47992,0.76713,0.7703,0.79341,0.48313,1.22339,0.68403,1.69133,0.000544776,0.000544776,0.000544776
70,2404.19,1.13028,0.70979,1.49568,0.75606,0.74645,0.79403,0.48756,1.22699,0.69986,1.67692,0.000528272,0.000528272,0.000528272
71,2437.25,1.15918,0.77393,1.50259,0.77709,0.74266,0.77977,0.49464,1.19698,0.68466,1.6233,0.000511769,0.000511769,0.000511769
72,2471.33,1.12572,0.74423,1.48077,0.76583,0.78053,0.77192,0.4983,1.20992,0.66481,1.64695,0.000495266,0.000495266,0.000495266
73,2505.01,1.11352,0.71171,1.47452,0.77414,0.78848,0.82734,0.50526,1.21873,0.65999,1.64077,0.000478762,0.000478762,0.000478762
74,2538.88,1.11679,0.73463,1.48166,0.8,0.74355,0.80118,0.47443,1.27223,0.67649,1.74115,0.000462259,0.000462259,0.000462259
75,2572.71,1.11946,0.73521,1.47529,0.72939,0.78791,0.79797,0.49704,1.21156,0.67744,1.66139,0.000445756,0.000445756,0.000445756
76,2606.5,1.06673,0.70881,1.44514,0.74011,0.79586,0.812,0.48668,1.21016,0.70891,1.65923,0.000429253,0.000429253,0.000429253
77,2640.41,1.08414,0.694,1.43594,0.80335,0.77828,0.81039,0.50018,1.21995,0.65493,1.66706,0.000412749,0.000412749,0.000412749
78,2674.41,1.09216,0.69797,1.45674,0.73079,0.77403,0.78727,0.50169,1.19651,0.66519,1.641,0.000396246,0.000396246,0.000396246
79,2708.06,1.07755,0.71574,1.44655,0.80606,0.73308,0.80415,0.50507,1.20424,0.66468,1.6523,0.000379743,0.000379743,0.000379743
80,2742.04,1.05317,0.67036,1.41816,0.73472,0.81596,0.79468,0.49513,1.21202,0.66757,1.64478,0.000363239,0.000363239,0.000363239
81,2775.66,1.08634,0.69257,1.459,0.68985,0.84995,0.77955,0.49046,1.22226,0.67079,1.67166,0.000346736,0.000346736,0.000346736
82,2809.39,1.04763,0.6928,1.41047,0.76637,0.75981,0.79804,0.485,1.23985,0.67258,1.70522,0.000330233,0.000330233,0.000330233
83,2843.29,1.08323,0.68758,1.44071,0.74093,0.7973,0.79569,0.49704,1.23223,0.67266,1.64099,0.000313729,0.000313729,0.000313729
84,2878.06,1.05818,0.675,1.42942,0.75502,0.80557,0.81688,0.49019,1.24667,0.66205,1.71224,0.000297226,0.000297226,0.000297226
85,2911.66,1.0702,0.71295,1.43183,0.76743,0.78597,0.82417,0.51098,1.21659,0.67481,1.65562,0.000280723,0.000280723,0.000280723
86,2945.24,1.05121,0.68343,1.42379,0.74554,0.81781,0.79481,0.50892,1.22309,0.6859,1.64052,0.00026422,0.00026422,0.00026422
87,2979.25,1.04575,0.67675,1.4228,0.74676,0.79482,0.81624,0.50764,1.24027,0.67986,1.648,0.000247716,0.000247716,0.000247716
88,3012.52,1.03894,0.67355,1.3993,0.76079,0.76822,0.79029,0.49289,1.24768,0.65952,1.69654,0.000231213,0.000231213,0.000231213
89,3046.37,1.05917,0.67885,1.43537,0.72436,0.81703,0.81884,0.51157,1.22286,0.65819,1.65403,0.00021471,0.00021471,0.00021471
90,3080.29,1.037,0.67125,1.40569,0.79297,0.76636,0.82313,0.50962,1.23317,0.65011,1.67798,0.000198206,0.000198206,0.000198206
91,3115.62,0.85977,0.51018,1.33365,0.74396,0.79523,0.80516,0.50216,1.24436,0.65966,1.72722,0.000181703,0.000181703,0.000181703
92,3149.97,0.86157,0.50114,1.33453,0.71191,0.80169,0.80696,0.49218,1.24554,0.66975,1.71288,0.0001652,0.0001652,0.0001652
93,3184,0.84905,0.50995,1.32891,0.73001,0.82246,0.81502,0.50747,1.23542,0.66708,1.68624,0.000148696,0.000148696,0.000148696
94,3217.87,0.85752,0.50335,1.33649,0.73154,0.79737,0.80387,0.50736,1.23397,0.66445,1.67833,0.000132193,0.000132193,0.000132193
95,3252.19,0.84548,0.49919,1.32071,0.72134,0.81538,0.8127,0.50427,1.24124,0.66019,1.70499,0.00011569,0.00011569,0.00011569
96,3287.87,0.84493,0.49893,1.31958,0.73344,0.79305,0.79538,0.49972,1.24988,0.66263,1.72414,9.91865e-05,9.91865e-05,9.91865e-05
97,3322.3,0.84713,0.49764,1.33015,0.73557,0.79471,0.7975,0.50742,1.24202,0.66878,1.70251,8.26832e-05,8.26832e-05,8.26832e-05
98,3357,0.83044,0.49844,1.31548,0.74302,0.80994,0.81035,0.51169,1.23752,0.67158,1.69453,6.61799e-05,6.61799e-05,6.61799e-05
99,3391.34,0.81963,0.48143,1.30064,0.72892,0.80557,0.81364,0.50577,1.23993,0.664,1.71263,4.96766e-05,4.96766e-05,4.96766e-05
